model,MAE,RMSE,sMAPE
prophet,10001.403670776534,11082.705288878924,17.47025419761911
holt_winters,9643.567681410863,11167.714286506798,16.76429250305821
naive,20764.959866666668,27357.069124750476,34.72646835199617
arima,24812.162032205586,31301.501937110443,44.13392049508255
moving_avg,28099.864666666665,33778.085848524956,52.590024933556336
