antecedents,consequents,support,confidence,lift
"Paper, Phones",Binders,0.010616578195181707,0.3151515151515152,1.2087800479343158
"Binders, Phones",Paper,0.010616578195181707,0.2736842105263158,1.1526270534461693
"Paper, Storage",Binders,0.010616578195181707,0.2988505747126437,1.1462569420066788
"Binders, Storage",Paper,0.010616578195181707,0.2694300518134715,1.1347105707501148
Fasteners,Paper,0.011637403021641487,0.2688679245283019,1.1323431593633901
Fasteners,Binders,0.012249897917517355,0.2830188679245283,1.0855336061819418
Appliances,Binders,0.02531645569620253,0.2811791383219954,1.0784772274871837
Appliances,Paper,0.021845651286239283,0.24263038548752835,1.0218431884074926
