antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"Paper, Phones",Binders,0.033687219273172725,0.2607186606778277,0.010616578195181707,0.3151515151515152,1.2087800479343158,1.0,0.0018336915043198117,1.079481601665119,0.1787409189162835,0.03741007194244604,0.07362941762278967,0.17793597683965737
"Binders, Phones",Paper,0.03879134340547162,0.2374438546345447,0.010616578195181707,0.2736842105263158,1.1526270534461693,1.0,0.0014058120905341993,1.0498961421698296,0.13776060388209926,0.03996925441967717,0.04752483618685271,0.1591980811874915
"Paper, Storage",Binders,0.035524703960800326,0.2607186606778277,0.010616578195181707,0.2988505747126437,1.1462569420066788,1.0,0.001354624957545526,1.0543848610004753,0.1322949912069303,0.037169406719085064,0.051579705866481335,0.16978550662022163
"Binders, Storage",Paper,0.03940383830134749,0.2374438546345447,0.010616578195181707,0.2694300518134715,1.1347105707501148,1.0,0.0012603789415134483,1.0437825252165451,0.12358783618082235,0.03987730061349694,0.04194602243169573,0.15707100183106937
Fasteners,Paper,0.04328297264189465,0.2374438546345447,0.011637403021641487,0.2688679245283019,1.1323431593633901,1.0,0.0013601271575084777,1.0429800181772677,0.12216306879020003,0.04324734446130501,0.041208860599631233,0.15893955125813203
Fasteners,Binders,0.04328297264189465,0.2607186606778277,0.012249897917517355,0.2830188679245283,1.0855336061819418,1.0,0.0009652192601675245,1.031102920633556,0.08235879926020777,0.041987403778866346,0.03016471005090849,0.16500199465137927
Appliances,Binders,0.09003674969375255,0.2607186606778277,0.02531645569620253,0.2811791383219954,1.0784772274871837,1.0,0.0018421949042625556,1.0284639452399937,0.0799666345798925,0.0777917189460477,0.02767617219031584,0.1891408612518356
Appliances,Paper,0.09003674969375255,0.2374438546345447,0.021845651286239283,0.24263038548752835,1.0218431884074926,1.0,0.0004669783801890155,1.006848084150197,0.023491347224464883,0.07147628590514361,0.00680150685887923,0.1673169124342199
