model,accuracy,f1_macro,cv_f1,roc_auc
random_forest,0.5459710743801653,0.32998586493267945,0.32230676157856286,0.6480131087980374
decision_tree,0.5144628099173554,0.2704094582605135,0.2624633930443786,0.5507608284249893
logistic_regression,0.5206611570247934,0.2282608695652174,0.22835781314743656,0.5154484474997191
